MagneticField (Oe)	M(emu/g)
9896.61181640625	17.9479966180471
9966.6875	18.1542877972941
10086.9423828125	18.2589777772488
10201.833984375	18.3628009630511
10406.9399414062	18.560418162641
10481.8032226562	18.6597251343738
10696.5991210938	18.8529366259785
10766.8452148438	18.945740839737
10882.0356445312	19.0403571685986
11086.6118164062	19.1352159379033
11151.5517578125	19.3167586600342
11271.8110351562	19.4072411049112
11401.8779296875	19.4968848556865
11611.7309570312	19.6652699282292
11681.681640625	19.7503107423934
11921.689453125	19.9224097729006
11996.6665039062	20.0001020092943
12126.54296875	20.0813029804255
12251.3950195313	20.2395583248733
12366.2739257813	20.3186296855693
12571.4365234375	20.3969007491789
12636.2919921875	20.5467521030507
12841.5224609375	20.6194758765412
12981.7509765625	20.6911055987466
13051.5322265625	20.8392165673643
13176.623046875	20.9110234651844
13301.7822265625	20.9758119538038
13516.8461914062	21.1098667629363
13586.8481445313	21.1809272067824
13696.7333984375	21.2491122421758
13886.974609375	21.3123995256887
13951.6655273437	21.4412318469939
14071.7724609375	21.5041987059915
14181.9409179688	21.5670889247262
14296.6997070312	21.630214566002
14521.51953125	21.7490661855485
14671.6196289062	21.8111200149466
14741.4096679687	21.9297006101651
14861.5615234375	21.984350192962
14971.759765625	22.0451907348216
15091.7861328125	22.1055438573688
15221.6240234375	22.1566199366874
15336.47265625	22.2080624420954
15521.4033203125	22.3187628898362
15681.4443359375	22.3746763816147
15741.5625	22.4753719650383
15981.76171875	22.5303136214665
16051.9555664062	22.6295976976546
16167.0654296875	22.6776091041868
16291.9711914062	22.7273350933602
16421.94140625	22.7788280587022
16547.306640625	22.8754885288701
16672.638671875	22.9233145338142
16882.6669921875	22.9701617027767
16937.6337890625	23.0175165935884
17047.93359375	23.1077954874059
17173.123046875	23.1517392482194
17388.0927734375	23.2419402003958
17463.291015625	23.2843744390989
17583.283203125	23.326639839863
17793.3291015625	23.412277816085
17863.5390625	23.4508536325097
18063.765625	23.4937242446491
18138.859375	23.5712194098588
18263.970703125	23.6159500204498
18379.12890625	23.6550719844614
18579.2939453125	23.730872532291
18729.392578125	23.7704883115998
18884.513671875	23.8503510013095
19034.8447265625	23.8875455093039
19184.9072265625	23.9231497446716
19249.9111328125	23.9964938674414
19370.16796875	24.032501834898
19495.5205078125	24.0674888933698
19705.154296875	24.1370294462328
19775.0810546875	24.171837171373
19905.283203125	24.2093610934231
20030.5205078125	24.2390799196581
20150.6630859375	24.3085170562787
20360.8896484375	24.3412839710861
20430.9345703125	24.4094881778654
20555.779296875	24.4408529148097
20786.185546875	24.5024510404557
20861.2900390625	24.5370231129726
21071.078125	24.5647980809669
21146.2294921875	24.6250271267193
21271.4755859375	24.6605602452408
21381.4248046875	24.6868203896616
21496.2548828125	24.7179870901847
21711.8603515625	24.7749836671296
21781.927734375	24.8071043339724
21997.4423828125	24.8641009515611
22077.7607421875	24.8914946190384
22207.919921875	24.9195471219674
22417.873046875	24.9774014878678
22493.08984375	25.0018618226894
22628.0322265625	25.0275886762417
22758.146484375	25.0849917656764
22878.1328125	25.1087960861384
23003.287109375	25.1375335108289
23133.623046875	25.1626411597751
23343.5615234375	25.2140789570441
23403.775390625	25.2401921663295
23603.611328125	25.2912914325508
23674.05078125	25.3149547122525
23904.060546875	25.3590732018734
24074.41015625	25.3844209227887
24144.2958984375	25.4387267459098
24349.7255859375	25.4583618653002
24509.603515625	25.5058296507338
24574.5478515625	25.5280119635961
24785.2158203125	25.5797412321401
24859.9423828125	25.6014567278935
24985.0390625	25.6211426031286
25105.296875	25.6442152238679
25315.302734375	25.6883817234214
25385.43359375	25.7140576709788
25600.591796875	25.7546955456801
25670.6005859375	25.777568946243
25895.8828125	25.822051826183
26051.326171875	25.8404840514104
26121.681640625	25.8601007132661
26246.966796875	25.9070022643705
26451.9697265625	25.9281330735278
26611.8876953125	25.968869884916
26762.3037109375	25.9879962431667
26932.43359375	26.0299421351159
27002.708984375	26.0467310598074
27122.7626953125	26.0653347687852
27242.6015625	26.1059259964139
27367.70703125	26.1251822652413
27497.84765625	26.1411565014015
27627.87890625	26.1610029435577
27828.072265625	26.2004459408274
27893.109375	26.2197780595148
