Temperature (K),Magnetic Field (Oe),Moment (emu),M (emu/g)
4.92410325,99.7514266967773,0.00442473046179575,0.154710855307544
4.9938817,99.7514266967773,0.00437026604895215,0.152806505208117
5.05022525,99.7514266967773,0.00431721544228906,0.150951588891226
5.1143129,99.7514266967773,0.00426751587663527,0.149213841840394
5.1845992,99.7514266967773,0.00421524006998098,0.147386016432901
5.2556915,99.7514266967773,0.00417025388395325,0.145813072865498
5.32185005,99.7514266967773,0.0041218752055342,0.144121510683014
5.38903855,99.7514266967773,0.00407557684421289,0.142502686860591
5.45762965,99.7514266967773,0.00403110982061726,0.140947895825778
5.51621865,99.7514266967773,0.00398501432900982,0.139336165349994
5.590121,99.7514266967773,0.00394080438955466,0.137790363271142
5.655951,99.7514266967773,0.00390071619871604,0.136388678276785
5.72122335,99.7514266967773,0.00385846038339068,0.134911202216457
5.7858672,99.7514266967773,0.00381820728991002,0.133503751395455
5.9369674,99.7514266967773,0.0037373004559826,0.130674841118273
5.9893804,99.7514266967773,0.00369984572027184,0.12936523497454
6.05414245,99.7514266967773,0.00366199798769034,0.12804188768148
6.1143098,99.7514266967773,0.00362528772779468,0.126758312160653
6.18295625,99.7514266967773,0.00358871538938002,0.125479559069231
6.25527595,99.7514266967773,0.00355259311313812,0.124216542417417
6.32542635,99.7514266967773,0.00351647446687851,0.12295365268806
6.3793273,99.7514266967773,0.00348553889440281,0.121871989314784
6.45009705,99.7514266967773,0.00345188588619378,0.120695310706076
6.51767085,99.7514266967773,0.00341625516900142,0.119449481433616
6.5918369,99.7514266967773,0.00338426217504635,0.118330845281341
6.65534685,99.7514266967773,0.0033543689101162,0.117285626227839
6.7109833,99.7514266967773,0.00332333021631315,0.116200357213747
6.7814157,99.7514266967773,0.00329207671817965,0.115107577558729
6.8525677,99.7514266967773,0.0032605477619558,0.114005166501951
6.92310525,99.7514266967773,0.00323015273967677,0.112942403485202
6.98428155,99.7514266967773,0.00320387725117314,0.112023680110949
7.0489261,99.7514266967773,0.00317584018236708,0.111043363019828
7.11855435,99.7514266967773,0.00314546931563849,0.109981444602744
7.18037795,99.7514266967773,0.00311768715810395,0.109010040493145
7.2389226,99.7514266967773,0.00309215352452266,0.108117256102191
7.31573535,99.7514266967773,0.00306472058734562,0.107158062494602
7.3870397,99.7514266967773,0.00303675104686676,0.106180106533803
7.45268725,99.7514266967773,0.00301163026181638,0.105301757406167
7.51893475,99.7514266967773,0.00298636399680611,0.104418321566647
7.58370805,99.7514266967773,0.00296177361779944,0.103558518104876
7.64824295,99.7514266967773,0.00293682152211877,0.10268606720695
7.71710655,99.7514266967773,0.00291244844730302,0.101833861793812
7.7731457,99.7514266967773,0.00288813789551332,0.100983842500466
7.84935595,99.7514266967773,0.00286519070778036,0.100181493279034
7.91758775,99.7514266967773,0.00284143813759799,0.0993509838320976
7.9875176,99.7514266967773,0.00281671612297682,0.0984865777264622
8.05365035,99.7514266967773,0.00279464728045836,0.0977149398761664
8.11208155,99.7514266967773,0.00277369869995933,0.09698247202655
8.1746583,99.7514266967773,0.00275272131491323,0.0962489970249381
8.24032545,99.7514266967773,0.00273096070395817,0.0954881365020339
8.311275,99.7514266967773,0.00270803864225229,0.0946866658130172
8.3853893,99.7514266967773,0.00268629770598873,0.0939264932163891
8.44870615,99.7514266967773,0.00266657086083655,0.0932367433858933
8.5041194,99.7514266967773,0.00264770599486014,0.0925771326874175
8.57815505,99.7514266967773,0.00262669160996145,0.0918423639846661
8.64146565,99.7514266967773,0.00260565882215654,0.0911069518236552
8.71155595,99.7514266967773,0.00258613011302447,0.0904241298260304
8.77829025,99.7514266967773,0.00256767258980219,0.0897787618811955
8.84673405,99.7514266967773,0.00254909929293655,0.0891293459068724
8.89853235,99.7514266967773,0.00252979224819448,0.0884542744123944
8.9750447,99.7514266967773,0.00251040181797268,0.0877762873417021
9.03899715,99.7514266967773,0.00249224196897798,0.0871413275866426
9.1113715,99.7514266967773,0.00247422742092279,0.0865114482840137
9.16872405,99.7514266967773,0.0024561165579009,0.0858782013252063
9.2468963,99.7514266967773,0.0024381260175433,0.0852491614525629
