B_exp (T),M_exp (emu/mol)
2.746358984375,13681.416995008463
2.75786962890625,13747.915243282576
2.76988125,13780.443341459617
2.79040322265625,13813.91893175187
2.8094306640625,13878.118012736122
2.8254283203125,13943.291702786099
2.83243603515625,13975.077440254896
2.84344267578125,14007.868152804534
2.86343056640625,14070.995976318733
2.8714626953125,14103.003770361658
2.8844837890625,14135.248464884336
2.89648916015625,14165.58285963814
2.90699794921875,14197.231785002316
2.927534765625,14259.712185548959
2.93503623046875,14290.298013650206
2.94653232421875,14321.428780783619
2.966048828125,14383.562049942739
2.97306435546875,14413.092068246619
2.9855646484375,14474.239309160004
3.00960419921875,14505.164463391993
3.017623046875,14564.748991882689
3.03064404296875,14595.378528636526
3.042646484375,14624.233284266242
3.05417490234375,14654.350583219068
3.0657072265625,14683.864129064505
3.07620771484375,14713.188660315407
3.0967279296875,14770.886159589101
3.10373740234375,14801.613349044877
3.12576826171875,14859.36260780456
3.14075908203125,14886.909015807401
3.14677314453125,14915.918151621065
3.15828251953125,14974.2448085432
3.1707822265625,15001.28637540884
3.19129296875,15029.517126821556
3.19930859375,15087.065115694282
3.21182841796875,15115.137105722031
3.2233318359375,15143.133437351611
3.23533525390625,15171.230595936704
3.2473552734375,15225.742548483366
3.25986884765625,15252.929268606944
3.2723888671875,15281.388210089766
3.2848951171875,15308.033170556615
3.2973880859375,15334.869433877138
3.3099025390625,15389.68926280362
3.3229328125,15416.64734953911
3.3354447265625,15443.428325636387
3.34695,15469.958918864222
3.359454296875,15523.600838034487
3.3719673828125,15550.236257355184
3.3839865234375,15575.732378922516
3.405993359375,15628.358442717878
3.4140158203125,15654.093036011898
3.4265216796875,15680.244752402492
3.4475330078125,15733.102468694105
3.45405,15759.345343338799
3.4750375,15809.822375860704
3.4900818359375,15834.817478160832
3.4970923828125,15886.313157372011
3.510094921875,15911.284859976464
3.522100390625,15936.05909180206
3.533632421875,15960.885453776078
3.5461419921875,15984.44552878484
3.56769453125,16035.731973756874
3.5746921875,16060.435981515348
3.5871568359375,16085.877048553639
3.6106955078125,16133.100178093686
3.626701953125,16180.580819188554
3.6332408203125,16205.987588672055
3.653739453125,16253.592358639597
3.661240625,16277.883595226538
3.67376484375,16301.498260664832
3.6857685546875,16325.17523402127
3.6977671875,16371.809590305498
3.71078671875,16395.17858166667
3.7233015625,16420.054610892177
3.743312109375,16466.667131135742
3.7588326171875,16488.13149939809
3.7663314453125,16535.174828757044
3.7873494140625,16558.02455546832
3.7948619140625,16580.59632064936
3.8068748046875,16602.746992450113
3.8263720703125,16648.756572276696
3.8413927734375,16671.982987428273
3.856442578125,16715.218036784525
3.863454296875,16737.661413937178
3.8759525390625,16761.37587650514
3.8874552734375,16803.707639220433
3.9089771484375,16826.119605238717
3.916009765625,16847.230811890986
3.9275072265625,16870.036141704408
3.9480291015625,16912.46833508608
3.955055078125,16934.646783486784
3.9665447265625,16955.681280184403
3.987077734375,16999.70004228876
4.003604296875,17041.83718363383
4.0200861328125,17062.15969687094
4.0375908203125,17103.27582661493
4.045090234375,17124.950045825266
4.0566296875,17145.425913550855
4.0676517578125,17188.507875906653
4.0896279296875,17208.315143666416
4.09667890625,17249.408513015143
4.110176953125,17270.02555073993
4.12319609375,17291.207461209677
4.135191015625,17310.24193473759
4.1472005859375,17330.77302014997
4.1597453125,17371.227002448
4.1712416015625,17391.226738592053
4.1907607421875,17411.250769701244
4.206762890625,17451.827685856086
4.2137634765625,17469.765646401935
4.22677109375,17489.902054959413
4.2482994140625,17530.2750748538
4.254790625,17549.423939981694
4.2663087890625,17567.65392637622
4.2863171875,17606.61812231279
4.2938259765625,17626.192195930482
4.305848046875,17645.29112035369
4.317370703125,17682.55311830607
4.3374109375,17703.43912000047
4.352426171875,17721.19277293718
4.3684607421875,17759.407642794547
4.3759697265625,17776.791360447653
4.3889787109375,17814.84256309609
4.401992578125,17833.017242964823
4.4255177734375,17870.31392845203
4.43302109375,17888.13138296352
4.4455263671875,17906.025984962485
4.4580373046875,17942.964865922142
4.4710396484375,17961.23917887681
4.4835453125,17978.95528309742
