Magnetic Field (Oe),Temperature (K),Moment (emu),M (emu/g)
43149.541015625,2.9925363,0.806098146784441,28.1852498875679
42985.15234375,2.9911759,0.805791873432259,28.1745410291
42925.376953125,2.9902102,0.805536620402025,28.1656160979729
42810.673828125,2.99058165,0.805068237064646,28.1492390582044
42690.833984375,2.99066045,0.804765447589223,28.1386520136092
42566.470703125,2.9899745,0.804535485838191,28.1306113929437
42446.994140625,2.99130805,0.804263457731708,28.1210999206891
42332.181640625,2.9912754,0.803927883408103,28.1093665527309
42137.787109375,2.9920306,0.803321810265585,28.0881751841114
41983.68359375,2.99099025,0.80313912420314,28.0817875595504
41913.87890625,2.9907906,0.802554253571488,28.0613375374646
41799.173828125,2.9900292,0.802263104042066,28.0511574839883
41674.48046875,2.99035725,0.802020809698828,28.0426856538052
41455.298828125,2.98972295,0.801380960702603,28.0203133112798
41300.962890625,2.9914334,0.801170805209396,28.0129652171117
41231.099609375,2.99063565,0.800842171822551,28.00147453925
41031.9375,2.9897859,0.800288943981478,27.9821309084433
40962.24609375,2.9908037,0.799949585195632,27.9702652166305
40837.404296875,2.99102185,0.799712723603806,27.9619833427904
40717.712890625,2.9909016,0.799092099580806,27.9402832021261
40499.06640625,2.9891703,0.798861181439107,27.9322091412275
40428.974609375,2.9901991,0.798212740963913,27.9095363973396
40304.072265625,2.9900074,0.797972310137337,27.9011297250817
40174.810546875,2.99006795,0.79762471579875,27.8889760768794
39965.73828125,2.99139095,0.797119698289072,27.8713181219955
39811.380859375,2.9890196,0.796833431537858,27.86130879503
39642.1328125,2.9905415,0.79611176548192,27.836075716151
39567.447265625,2.9896579,0.795863880399596,27.8274084055803
39442.62109375,2.9896368,0.795525370521478,27.8155723958559
39322.87109375,2.9907961,0.79490555922912,27.7939006723469
39113.486328125,2.9891496,0.794630303835194,27.7842763578739
39043.58203125,2.99064185,0.794316455179498,27.7733026286538
38844.33984375,2.9899423,0.79372560831509,27.7526436473808
38774.73828125,2.98968315,0.793479876031714,27.7440516095005
38575.34375,2.9906244,0.792781391722905,27.7196290812204
38495.6015625,2.98943425,0.792471506612908,27.7087939375143
38291.25390625,2.9904828,0.792165458479811,27.6980929538395
38221.759765625,2.99054775,0.791476502923687,27.6740035987303
38091.916015625,2.99070515,0.791107049960326,27.6610856629484
37962.431640625,2.989957,0.790804241533904,27.6504979557309
37838.169921875,2.9898931,0.79058302625937,27.642763155922
37713.474609375,2.99035875,0.789933553387359,27.6200543142433
37593.787109375,2.98998025,0.789611431296402,27.60879130407
37484.197265625,2.99059785,0.789243708670853,27.5959338696102
37274.73828125,2.9888582,0.788670425186101,27.575888992521
37105.388671875,2.9908359,0.788255608466005,27.5613849113988
37040.57421875,2.9904891,0.787552288271069,27.5367932961912
36916.029296875,2.98987255,0.787199483184385,27.5244574539995
36806.578125,2.99044285,0.786924872807448,27.5148556925681
36612.060546875,2.99088845,0.786549469726382,27.5017297107126
36542.15625,2.9909192,0.785804291563899,27.4756745302063
36417.767578125,2.99072145,0.78548674544107,27.4645715189185
36288.384765625,2.9892839,0.7851768904422,27.4537374280489
36158.888671875,2.98925635,0.784812353102818,27.4409913672314
36034.33203125,2.9902948,0.78411933163569,27.4167598474017
35909.6953125,2.99002085,0.783801831459944,27.4056584426554
35775.150390625,2.9895501,0.783447568452222,27.3932716242036
35640.78515625,2.98967325,0.78270019415345,27.367139655715
35516.248046875,2.98968865,0.782408820385977,27.3569517617474
35306.8671875,2.99037275,0.782031674077669,27.3437648278905
35152.5390625,2.9885805,0.781281579418322,27.3175377418994
35082.48046875,2.98926475,0.780971611760266,27.3066997118974
34968.267578125,2.9908483,0.780568851941693,27.2926172007585
34853.69140625,2.99093975,0.779866143883866,27.2680469889464
34723.84765625,2.99028385,0.779504793848633,27.2554123723298
34604.515625,2.9896935,0.779165596539369,27.2435523265514
34400.087890625,2.9895842,0.778425125512043,27.2176617311903
34330.236328125,2.98996865,0.778022412114146,27.203580843152
34110.67578125,2.989398,0.777688698303831,27.191912528106
33966.65234375,2.9900675,0.776872527110484,27.1633750737931
33896.63671875,2.99065555,0.776490556450017,27.1500194562943
33761.94921875,2.99022615,0.776140209839495,27.1377695748075
33637.462890625,2.99029575,0.775307399084104,27.108650317626
33528.013671875,2.99082005,0.774934498159258,27.0956118237503
33319.09375,2.9886229,0.774613096835597,27.0843740152307
33254.111328125,2.98962175,0.773779795727829,27.0552376128612
33134.4140625,2.9900032,0.773348354105862,27.0401522414637
33014.81640625,2.9892292,0.773026298009993,27.0288915388109
32810.705078125,2.9909129,0.772561864313143,27.0126525983616
32656.1953125,2.9913623,0.771804452224083,26.9861696581847
32586.3134765625,2.99005985,0.771357143502084,26.9705294930799
32466.611328125,2.98958125,0.770521248696129,26.9413024019626
32341.8740234375,2.98971975,0.770141929290553,26.9280394856837
32217.75390625,2.9897046,0.769713329648619,26.9130534842174
