MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) ChiT(emu/Oeg)
21381,4248046875 3,0049728 0,706043063144321 24,6868203896616 4,67695679373419E-5
21496,2548828125 3,0050107 0,706934430779283 24,7179870901847 4,65197312486073E-5
21711,8603515625 3,0050197 0,708564532879908 24,7749836671296 4,60577759716493E-5
21781,927734375 3,00534895 0,709483183951612 24,8071043339724 4,59096188452529E-5
21997,4423828125 3,0040288 0,711113287214649 24,8641009515611 4,54598304019808E-5
22077,7607421875 3,00466895 0,711896746104498 24,8914946190384 4,52944486389483E-5
22207,919921875 3,0058917 0,712699047688268 24,9195471219674 4,50289808103546E-5
22417,873046875 3,0041513 0,71435368255302 24,9774014878678 4,46072648332442E-5
22493,08984375 3,0050689 0,715053248128917 25,0018618226894 4,4458098329157E-5
22628,0322265625 3,0060066 0,715789036140514 25,0275886762417 4,41929722384841E-5
22758,146484375 3,0062593 0,717430764498345 25,0849917656764 4,39403094925401E-5
22878,1328125 3,00578215 0,718111568063559 25,1087960861384 4,37098607738489E-5
23003,287109375 3,00496735 0,718933458409708 25,1375335108289 4,34720479401594E-5
23133,623046875 3,00508225 0,719651537169569 25,1626411597751 4,32271243451027E-5
23343,5615234375 3,0051208 0,72112265817146 25,2140789570441 4,28383646169834E-5
23403,775390625 3,00469935 0,721869495957024 25,2401921663295 4,27281489122724E-5
23603,611328125 3,0062296 0,723330934970954 25,2912914325508 4,2366398348902E-5
23674,05078125 3,00597725 0,724007704770422 25,3149547122525 4,2240341935568E-5
23904,060546875 3,00609055 0,725269493573579 25,3590732018734 4,18338967155407E-5
24074,41015625 3,0071661 0,725994438391758 25,3844209227887 4,15378816556545E-5
24144,2958984375 3,0073274 0,727547584933021 25,4387267459098 4,14176501235108E-5
24349,7255859375 3,0061696 0,728109149347586 25,4583618653002 4,10682246282694E-5
24509,603515625 3,0059595 0,729466728010988 25,5058296507338 4,08003336064778E-5
24574,5478515625 3,0068009 0,730101142158848 25,5280119635961 4,06925086085121E-5
24785,2158203125 3,00487635 0,731580599239206 25,5797412321401 4,03466327366195E-5
24859,9423828125 3,0061331 0,732201662417753 25,6014567278935 4,02253546931538E-5
24985,0390625 3,00795785 0,732764678449478 25,6211426031286 4,00239518336755E-5
25105,296875 3,0076667 0,733424555402621 25,6442152238679 3,98322316194478E-5
25315,302734375 3,007056 0,734687717289851 25,6883817234214 3,9501798990621E-5
25385,43359375 3,0057807 0,735422049389994 25,7140576709788 3,93926696704603E-5
25600,591796875 3,00646095 0,736584292606451 25,7546955456801 3,90615970105061E-5
25670,6005859375 3,0065545 0,737238471862549 25,777568946243 3,89550683339994E-5
25895,8828125 3,0047085 0,738510682228834 25,822051826183 3,86161772217048E-5
26051,326171875 3,006933 0,739037843870339 25,8404840514104 3,83857617613187E-5
26121,681640625 3,00746955 0,73959888039941 25,8601007132661 3,82823745330691E-5
26246,966796875 3,0079453 0,740940264760996 25,9070022643705 3,80996405313799E-5
26451,9697265625 3,0044994 0,741544605902896 25,9281330735278 3,78043680806054E-5
26611,8876953125 3,00456705 0,742709678708596 25,968869884916 3,75771914961201E-5
26762,3037109375 3,0061095 0,743256692554568 25,9879962431667 3,73659910148658E-5
26932,43359375 3,0052557 0,744456345064315 26,0299421351159 3,71299532409155E-5
27002,708984375 3,0062529 0,744936508310492 26,0467310598074 3,70333213818897E-5
27122,7626953125 3,0065663 0,745468574387256 26,0653347687852 3,6869400482305E-5
27242,6015625 3,00607695 0,746629483497438 26,1059259964139 3,67072137991593E-5
27367,70703125 3,0069324 0,747180212785901 26,1251822652413 3,65394148241262E-5
27497,84765625 3,00735915 0,747637075940083 26,1411565014015 3,63664826607878E-5
27627,87890625 3,0079204 0,748204684185749 26,1610029435577 3,61953229704427E-5
27828,072265625 3,0065165 0,749332753907665 26,2004459408274 3,59349361484613E-5
27893,109375 3,00611535 0,749885652502124 26,2197780595148 3,5851148273067E-5
28003,3583984375 3,0072329 0,750362398109043 26,2364474863302 3,57100025565432E-5
28208,6435546875 3,0068876 0,751382732223997 26,2721235043356 3,54501271236712E-5
28278,541015625 3,00688355 0,751964842636107 26,2924770152485 3,53625033005579E-5
28483,8408203125 3,004163 0,752546219390537 26,312804873795 3,51076249270034E-5
28548,9423828125 3,00565385 0,753581710188217 26,3490108457418 3,50275672769593E-5
28674,0078125 3,0068884 0,754015567726962 26,3641806897539 3,48747899679397E-5
28804,21875 3,00660255 0,754543209710819 26,3826297101685 3,47171367041503E-5
28919,34375 3,00597465 0,755073684862977 26,4011777924118 3,45789312732935E-5
29029,5576171875 3,0064529 0,755602280914613 26,4196601718396 3,44476486065337E-5
29224,4052734375 3,0060096 0,756549717689869 26,4527873318136 3,42179760595133E-5
29289,3837890625 3,005927 0,756981322467849 26,4678784079667 3,41420634589598E-5
29419,7666015625 3,0064049 0,757520102494793 26,4867168704473 3,39907523245575E-5
29554,8115234375 3,0072123 0,758495740709032 26,5208300947214 3,38354382401316E-5
29684,9462890625 3,00696635 0,758988556284213 26,5380614085389 3,36871082825052E-5
29900,208984375 3,0071977 0,759945511184298 26,5715213700804 3,34445822944773E-5
29975,2724609375 3,00719165 0,760401785625669 26,5874750218765 3,33608310417581E-5
30090,080078125 3,00689365 0,760934260657325 26,6060930299764 3,32335439920276E-5
30295,73828125 3,00656115 0,761835414024779 26,6376018889783 3,30079429230777E-5
30360,9716796875 3,006536 0,762272432570419 26,652882257707 3,29370222583829E-5
30486,0966796875 3,0063558 0,762742445200747 26,6693162657604 3,28018378510978E-5
30601,15234375 3,00692265 0,763187032476447 26,6848612754002 3,26785079452814E-5
30796,208984375 3,00579525 0,76407365080522 26,7158619162664 3,2471529223203E-5
30946,505859375 3,0056553 0,764524741877892 26,7316343313948 3,23138258174972E-5
31116,49609375 3,0069706 0,765412941627335 26,76269026669 3,21372945394343E-5
31181,7802734375 3,0068799 0,765852931423662 26,7780745253029 3,20700098336547E-5
31296,9677734375 3,00748645 0,766301399412281 26,7937552242056 3,19519771768026E-5
